,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
0,240113892,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,955,1,Central,119,2,888,TRESPASSING,0910 2004,0,M,O,900.0,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
1,240113911,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1900,1,Central,152,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,600 S  OLIVE                        ST,,34.048,-118.2542
2,241811104,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1548,18,Southeast,1836,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0394,19,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1400 E  107TH                        ST,,33.9388,-118.2499
3,240509893,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1900,5,Harbor,509,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,24800    WESTERN                      AV,,33.7995,-118.3073
4,240114019,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1715,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,405.0,CLOTHING STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
5,241511766,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1900,15,N Hollywood,1505,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,11400    SHERMAN                      WY,,34.2012,-118.379
6,240610346,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1830,6,Hollywood,638,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344,44,M,W,101.0,STREET,,,IC,Invest Cont,331,,,,5700    FRANKLIN                     AV,,34.1053,-118.3137
7,240713030,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1330,7,Wilshire,736,1,330,BURGLARY FROM VEHICLE,0344,40,F,J,101.0,STREET,,,IC,Invest Cont,330,,,,300 S  DETROIT                      ST,,34.0683,-118.3451
8,241213340,07/10/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1200,12,77th Street,1248,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,28,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,800 W  65TH                         ST,,33.9801,-118.2871
9,240311986,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1550,3,Southwest,358,2,890,FAILURE TO YIELD,1212 1309 1822 2024,23,X,X,101.0,STREET,,,JA,Juv Arrest,890,,,,JEFFERSON                    BL,FIGUEROA                     ST,34.022,-118.28
10,240709874,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1515,7,Wilshire,774,2,354,THEFT OF IDENTITY,0930 0928 0929,37,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1800    ALSACE                       AV,,34.0435,-118.3508
11,241811693,07/27/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1600,18,Southeast,1842,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,100 E  111TH                        PL,,33.9339,-118.2739
12,240113939,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,905,1,Central,119,2,888,TRESPASSING,0910 1501,0,X,X,900.0,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
